"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"31",1650,"Armagh",54.34640121,-6.656970024,19831114,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1983,14
"32",4522,"Armagh",54.34640121,-6.656970024,19711216,1368.053543,0,0,0,1,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
"33",2574,"Armagh",54.427222,-6.437129,19730121,1368.053543,0,0,0,1,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"34",1457,"Armagh",54.346924,-6.637372,19790602,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1979,10
"35",1431,"Armagh",54.34640121,-6.656970024,19781221,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1978,9
"36",276,"Armagh",54.22180176,-6.486440182,19760105,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"37",1841,"Armagh",54.344773,-6.647473,19900328,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1990,21
"38",7903,"Armagh",54.350065,-6.655259,19740613,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"39",2204,"Armagh",54.175268,-6.33802,19711024,1368.053543,1,1,0,0,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1971,2
"40",6371,"Armagh",54.34640121,-6.656970024,19730120,1368.053543,0,1,0,0,0,0,0,0,1,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"41",3917,"Armagh",54.34640121,-6.656970024,19690309,1368.053543,0,0,0,1,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1969,0
"42",866,"Armagh",54.14208984,-6.358660221,19720822,1368.053543,0,0,1,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"43",3745,"Armagh",54.449694,-6.354961,19910328,1368.053543,1,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1991,22
"44",4614,"Armagh",54.18859863,-6.361060143,19720121,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"45",279,"Armagh",54.22180176,-6.486440182,19760105,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"46",4009,"Armagh",54.34640121,-6.656970024,19700124,1368.053543,0,0,0,0,1,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1970,1
"47",794,"Armagh",54.46709824,-6.338129997,19720618,1368.053543,1,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"48",489,"Armagh",54.426204,-6.438509,19881213,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1988,19
"49",5888,"Armagh",54.34640121,-6.656970024,19720928,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"50",230,"Armagh",54.181418,-6.407507,19750603,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1975,6
"51",5955,"Armagh",54.34640121,-6.656970024,19721010,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"52",873,"Armagh",54.1887207,-6.362110138,19720822,1368.053543,0,0,1,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"53",5746,"Armagh",54.42554855,-6.438469887,19720901,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
