id,date,lat,long,initGovt,initRebel,initCiv,initOther,targetGovt,targetRebel,targetCiv,targetOther,direct,name,areaSqKm,boundary
68,19720528,54.598811,-5.912114,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
69,19720528,54.598811,-5.912114,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
70,19720528,54.598811,-5.912114,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
71,19720528,54.599931,-5.91204,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
72,19720530,54.623284,-5.960432,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
73,19720619,54.585424,-5.974594,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
74,19720625,54.6133411,-5.932398518,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
75,19720627,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
76,19720702,54.616386,-5.944063,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
77,19720702,54.617397,-5.946356,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
78,19720706,54.59502696,-5.95591272,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
79,19720709,54.59552,-5.941791,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
80,19720709,54.601255,-5.985801,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
81,19720709,54.601393,-5.957838,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
82,19720711,54.58927951,-5.936387549,0,1,0,0,0,0,1,0,1,Belfast South,24.27765275,1
83,19720712,54.376985,-6.544734,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
84,19720714,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
85,19720718,54.609437,-5.966769,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
86,19720719,54.591851,-6.0396,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,0
87,19720719,54.601781,-5.963462,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
88,19720719,54.829117,-7.463876,0,1,0,0,0,0,1,0,0,Mid Ulster,2757.272662,0
89,19720721,54.595772,-5.921341,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
90,19720721,54.595772,-5.921341,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
91,19720721,54.595833,-5.92133,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
92,19720721,54.626371,-5.943581,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
93,19720721,54.626371,-5.943581,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
94,19720721,54.626371,-5.943581,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
95,19720725,54.59523505,-5.94856212,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
96,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
97,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
98,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
99,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
100,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
101,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
102,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
103,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
104,19720731,54.99180984,-7.31344986,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
105,19720814,54.61503,-5.952737,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
106,19720816,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
107,19720819,54.573406,-5.905673,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
108,19720822,54.181418,-6.407507,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
109,19720822,54.181418,-6.407507,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
110,19720822,54.181418,-6.407507,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
111,19720822,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
112,19720822,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
113,19720822,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
114,19720822,54.595184,-5.94962,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
115,19720906,54.58946123,-5.964691118,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
116,19720918,54.34640121,-6.656970024,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
117,19720921,54.35046768,-7.644734859,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
118,19720927,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
119,19721002,54.554676,-6.024448,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
120,19721002,54.554676,-6.024448,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
121,19721002,54.59586368,-5.954917884,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
122,19721003,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
123,19721015,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
124,19721203,54.599612,-5.904147,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,0
125,19721205,54.599931,-5.91204,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
126,19721207,54.588396,-5.970131,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
127,19730105,54.625375,-5.923214,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
128,19730202,54.601781,-5.963462,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
129,19730202,54.62704163,-5.966399727,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
130,19730225,54.998593,-7.342924,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
131,19730302,54.559625,-6.03159,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
133,19730319,54.614892,-5.959615,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
134,19730515,54.441124,-6.527698,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
135,19730526,54.56120166,-5.985201736,0,1,0,0,0,0,1,0,0,Belfast South,24.27765275,1
136,19730605,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
137,19730612,55.0320015,-7.292570114,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
138,19730612,55.0320015,-7.292570114,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
139,19730612,55.0320015,-7.292570114,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
140,19730612,55.0320015,-7.292570114,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
141,19730612,55.132643,-6.665318,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
142,19730612,55.132643,-6.665318,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
143,19730621,54.597777,-5.955557,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
144,19730626,54.99810028,-7.30934,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
145,19730704,54.617397,-5.946356,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
146,19730712,54.599202,-5.90093,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,0
147,19730808,55.0320015,-7.292570114,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
148,19730818,54.42232,-6.451911,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
149,19730824,54.48329926,-6.883329868,0,1,0,0,0,0,1,0,1,Fermanagh and South Tyrone,3064.088904,0
150,19730921,54.987956,-7.331244,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
151,19730925,54.18859863,-6.361060143,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,0
152,19731113,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
153,19731113,54.61523056,-6.669256687,0,1,0,0,0,0,1,0,0,Mid Ulster,2757.272662,0
154,19731114,54.991162,-7.332137,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
155,19731125,54.594245,-5.917709,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
156,19731126,54.61869494,-5.958921293,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
157,19731127,54.50226974,-6.772769928,0,1,0,0,0,0,1,0,0,Fermanagh and South Tyrone,3064.088904,0
158,19731127,54.50226974,-6.772769928,0,1,0,0,0,0,1,0,0,Fermanagh and South Tyrone,3064.088904,0
159,19731220,54.61675193,-5.938037114,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
160,19731224,54.176946,-6.341837,0,1,0,0,0,0,1,0,0,Armagh,1368.053543,1
161,19731227,54.56838,-6.019232,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
162,19740101,54.589927,-5.925005,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
163,19740111,54.996862,-7.309885,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
164,19740111,54.99972,-7.306285,0,1,0,0,0,0,1,0,0,Londonderry,1526.103519,0
165,19740113,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
166,19740315,54.74679947,-6.602260113,0,1,0,0,0,0,1,0,1,Mid Ulster,2757.272662,0
