"","name","year","id","initGovt","initRebel","initOther","targetCiv","direct","religion","governance","polNet","employment","stdLiving","clubs","yearsSince1969","govtAttacks","rebelAttacks","loyalistAttacks","govtAll","rebelAll","loyalistAll"
"36","Armagh",1971,2201,1,0,0,1,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"37","Armagh",1971,4246,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"38","Armagh",1971,4522,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"39","Armagh",1971,4346,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"40","Armagh",1971,2079,1,0,0,1,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"41","Armagh",1971,636,0,1,0,0,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"42","Armagh",1971,2086,0,0,0,1,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"43","Armagh",1971,4202,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"44","Armagh",1971,4206,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"45","Armagh",1971,2271,0,0,0,1,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"46","Armagh",1971,33,0,1,0,1,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"47","Armagh",1971,634,0,1,0,0,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"48","Armagh",1971,2138,1,0,0,1,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"49","Armagh",1971,2200,1,0,0,1,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"50","Armagh",1971,668,0,1,0,0,1,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"51","Armagh",1971,2204,1,0,0,1,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"52","Armagh",1971,2205,0,0,0,1,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"53","Armagh",1971,4105,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
"54","Armagh",1971,4389,0,0,0,0,0,1.671875,2.78688524590164,1.78846153846154,2.015625,2.91935483870968,35,2,0,0,0,7,6,0
